Parametros	pH	Conductividad	Turbidez	Coliformes
Fuente_1	6.18	135	1	2
Fuente_2	7.93	219	0	0
Fuente_3	7.11	190	2	1
Fuente_4	6.59	125	0	2
Fuente_5	7.66	201	1	1
Fuente_6	7.98	164	0	3
Fuente_7	7.04	138	1	2
Fuente_8	6.41	198	2	1
Fuente_9	7.62	171	3	0
Fuente_10	6.73	146	1	3
Fuente_11	7.87	185	0	1
Fuente_12	7.42	214	2	2
Fuente_13	6.91	151	0	1
Fuente_14	7.23	197	3	2
Fuente_15	7.55	179	1	0
Fuente_16	6.86	134	0	3
Fuente_17	7.14	204	2	2
Fuente_18	7.78	195	0	1
Fuente_19	6.66	156	1	0
Fuente_20	7.35	188	3	2
Fuente_21	6.77	143	1	1
Fuente_22	7.09	169	0	3
Fuente_23	6.52	179	2	2
Fuente_24	7.26	191	1	1
Fuente_25	6.98	162	3	0
