Parametros	pH	Conductividad	Turbidez	Coliformes
Fuente_1	6.88	156	1	0
Fuente_2	7.12	182	0	2
Fuente_3	7.35	195	2	1
Fuente_4	6.77	190	0	3
Fuente_5	7.54	205	1	2
Fuente_6	7.23	180	3	1
Fuente_7	6.93	185	0	0
Fuente_8	7.26	160	2	2
Fuente_9	7.04	168	1	3
Fuente_10	7.35	170	0	1
Fuente_11	7.81	225	2	2
Fuente_12	6.68	198	1	0
Fuente_13	7.09	145	0	3
Fuente_14	6.89	200	3	1
Fuente_15	7.12	182	1	2
Fuente_16	6.83	150	0	1
Fuente_17	7.26	193	2	0
Fuente_18	7.51	205	1	3
Fuente_19	6.94	170	0	2
Fuente_20	7.35	195	3	1
Fuente_21	7.18	195	0	0
Fuente_22	6.77	135	2	3
Fuente_23	7.23	180	1	2
Fuente_24	6.89	200	0	1
Fuente_25	7.09	145	3	0
