Parametros	pH	Conductividad	Turbidez	Coliformes
Fuente_1	7.93	135	1	2
Fuente_2	7.21	189	0	1
Fuente_3	6.78	214	2	3
Fuente_4	7.06	178	1	1
Fuente_5	6.49	223	0	0
Fuente_6	7.87	141	3	2
Fuente_7	6.67	195	1	0
Fuente_8	7.39	172	2	1
Fuente_9	7.14	201	1	3
Fuente_10	6.35	124	0	2
Fuente_11	7.75	190	3	1
Fuente_12	7.93	148	0	1
Fuente_13	6.82	231	2	0
Fuente_14	6.67	119	1	2
Fuente_15	7.32	195	0	0
Fuente_16	7.09	130	2	1
Fuente_17	6.54	214	1	0
Fuente_18	7.81	142	3	2
Fuente_19	6.98	182	0	3
Fuente_20	7.45	209	2	1
Fuente_21	6.94	129	1	1
Fuente_22	7.63	222	0	2
Fuente_23	7.72	128	2	0
Fuente_24	6.47	205	0	1
Fuente_25	7.13	178	1	2
