Parametros	pH	Conductividad	Turbidez	Coliformes
Fuente_1	7.21	180	0	1
Fuente_2	7.68	200	1	2
Fuente_3	6.93	150	2	0
Fuente_4	7.45	190	1	1
Fuente_5	6.77	215	3	0
Fuente_6	7.35	165	1	3
Fuente_7	6.89	195	0	2
Fuente_8	7.54	175	2	1
Fuente_9	6.98	205	1	0
Fuente_10	7.42	140	0	2
Fuente_11	6.68	225	3	1
Fuente_12	7.26	160	1	1
Fuente_13	6.82	230	2	0
Fuente_14	7.09	145	1	3
Fuente_15	6.55	185	0	1
Fuente_16	7.79	195	2	2
Fuente_17	7.14	155	1	0
Fuente_18	6.77	210	0	1
Fuente_19	7.35	180	3	2
Fuente_20	7.92	170	1	1
Fuente_21	6.89	190	2	0
Fuente_22	7.51	205	0	2
Fuente_23	6.93	150	1	1
Fuente_24	7.18	175	2	3
Fuente_25	6.71	195	0	0
